objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
FC_0007,FC_0007_047.jpg,,,Barcelona. Palacio de la Generalitat,Anónimo,,Papel a la sal,paisaje urbano;edificio gubernamental;palacio;fotografía primitiva,"Barcelona, Cataluña, España",38.97203 ,-0.57415 ,Colección Fernández Rivero de Fotografía Antigua,FC0007,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC_0107,FC_0107_021.jpg,,,Toledo. Castillo de San Servando,Anónimo,,Papel a la sal,paisaje urbano;castillo;edificio histórico;colina,"Toledo, Castilla-La Mancha, España",39.8603984 ,-4.01556729999993 ,Colección Fernández Rivero de Fotografía Antigua,FC0107,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC_0152,FC_0152_011.jpg,,,San Sebastián. Calle Mayor y Basílica de Ntra. Señora del Coro,Anónimo,,Papel a la sal,paisaje urbano;calle;iglesia;edificio religioso;fachadas,"San Sebastián, País Vasco, España",43.3208455 ,-1.9942323 ,Colección Fernández Rivero de Fotografía Antigua,FC0152,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC_0163,FC_0163_033.jpg_,,,Bilbao. Pórtico lateral de la catedral de Santiago,Anónimo,1860-01-01,Papel a la sal,paisaje urbano;iglesia;edificio religioso;portada;arte gótico;arcos apuntados;archivoltas,"Bilbao, País Vasco, España",43.257187 ,-2.923718 ,Colección Fernández Rivero de Fotografía Antigua,FC0163,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC_0067_010,FC_0067_010_Bolera.jpg,,,"Reproducción de un óleo: retrato de una joven bailarina española, escuela bolera",Anónimo,1853-01-01,Papel a la sal,"retrato, mujer, bailarina, escuela bolera, traje bolero, danza española",España,40.463667 ,-3.74922 ,Colección Fernández Rivero de Fotografía Antigua,FC67_10,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC_0001_27,FC_0001_027.jpg,,,Sevilla. Torre de la Giralda,"De Clercq, Louis",,Papel a la sal,paisaje urbano;torre;edificio religioso,"Sevilla, Andalucía, España",37.386207 ,-5.99255572619863 ,Colección Fernández Rivero de Fotografía Antigua,FC0001_27,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC_0067_5a,FC_0067_005a.jpg,,,Sevilla. Catedral y Giralda,"De Clercq, Louis",,Negativo de papel,paisaje urbano;iglesia;edificio religioso;arte gótico,"Sevilla, Andalucía, España",37.386207 ,-5.99255572619863 ,Colección Fernández Rivero de Fotografía Antigua,FC0067_5a,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC_0111_32a,FC_0111_032a.jpg,,,Madrid. Plaza de toros de la Puerta de Alcalá,"De Clercq, Louis",,Papel a la sal,plaza de toros;recinto cerrado;espacio taurino;ruedo;graderio;coso,"Madrid, España","40,419952","-3,68872",Colección Fernández Rivero de Fotografía Antigua,FC0111_32a,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC_0067_8,FC_0067_008.jpg,,,"Sevilla. Fachada del Ayuntamiento, lado sur","Delaunay, Alphonse",,Papel a la sal,paisaje urbano;edificio gubernamental;palacio;fotografía primitiva,"Sevilla, Andalucía, España",37.3887618 ,-5.9941156 ,Colección Fernández Rivero de Fotografía Antigua,FC0067_8,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC_0067_9,FC_0067_009.jpg,,,Sevilla? Columnas con bustos junto a un arco que da a un patio con jardín,"Delaunay, Alphonse",,Papel a la sal,interior;columna;escultura;busto;azulejo;jardín,"Sevilla, Andalucía, España","37,388878","-5,994606",Colección Fernández Rivero de Fotografía Antigua,FC0067_9,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FG431_8,FG_0431_008.jpg,,,Toledo. La ciudad rodeada por el río Tajo,"Delaunay, Alphonse",,Papel a la sal,paisaje urbano;ciudad histórica,"Toledo, Castilla-La Mancha, España",39.8581000 ,-4.0226300 ,Colección Fernández Rivero de Fotografía Antigua,FG431_8,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FG0431_13,FG_0431_013.jpg,,,"Granada. Alhambra, acceso al Patio de los Leones","Delaunay, Alphonse",,Papel a la sal,palacio;edificio histórico;arte;arquitectura nazarí;patio;escultura;fuente;arcos;columna,"Granada, Andalucía, España","37,177242","-3,5892882",Colección Fernández Rivero de Fotografía Antigua,FG431_13,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FG0431_19,FG_0431_019.jpg,,,"Granada. Palacio de Carlos V, en la Alhambra","Delaunay, Alphonse",,Papel a la sal,palacio;edificio histórico;arquitectura renacentista;fachada,"Granada, Andalucía, España","37,177242","-3,5892882",Colección Fernández Rivero de Fotografía Antigua,FG431_19,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC0197_002,FC_0197_002.jpg,,,"Granada. Alhambra, Patio de los Leones","Mares, Pablo, Paul Marès",1852-01-01,Papel a la sal,palacio;edificio histórico;arte;arquitectura nazarí;patio;escultura;fuente;arcos;columna,"Granada, Andalucía, España","37,177242","-3,5892882",Colección Fernández Rivero de Fotografía Antigua,FC0197_002,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FG_0428_3,FG_0428_003.jpg,,,Valencia. Pórtico de la Catedral en la plaza de la Almoina,"Mares, Pablo, Paul Marès",1852-01-01,Papel a la sal,paisaje urbano;plaza;edificio religioso;arte gótico;portada;torre;catedral;fachada,"Valencia, España","39,475403","-0,37531936",Colección Fernández Rivero de Fotografía Antigua,FG0428_3,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FG_0428_6,FG_0428_006.jpg,,,Sevilla. Catedral y torre de la Giralda,"Mares, Pablo, Paul Marès",1852-01-01,Papel a la sal,paisaje urbano;iglesia;edificio religioso;arte gótico,"Sevilla, Andalucía, España",37.386207 ,-5.99255572619863 ,Colección Fernández Rivero de Fotografía Antigua,FG0428_6,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC_0146_48,FC_0146_048.jpg,,,"Sevilla. Catedral, puerta de las Campanillas","Oppenheim, Felix Alexander",,Papel a la sal,paisaje urbano;iglesia;edificio religioso;arte gótico;portada,"Sevilla, Andalucía, España",37.386207 ,-5.99255572619863 ,Colección Fernández Rivero de Fotografía Antigua,FC_0146_48,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC_0004_29,FC_0004_029c.jpg,,,"Sevilla. Palacio de San Telmo, fachada con torre","Pedrosa i Vacarissas, Joaquín",,Papel a la sal,paisaje urbano;tejado;edificio religioso;arte gótico;torre;catedral,"Sevilla, Andalucía, España","37,380325","-5,9937725",Colección Fernández Rivero de Fotografía Antigua,FC0004_29,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC_0114_14,FC_0114_014.jpg,,,"Sevilla. Catedral y torre de la Giralda, tomada desde el Alcázar","Pedrosa i Vacarissas, Joaquín",,Papel a la sal,paisaje urbano;iglesia;torre;edificio religioso;arte gótico,"Sevilla, Andalucía, España",37.386207 ,-5.99255572619863 ,Colección Fernández Rivero de Fotografía Antigua,FC0114_14,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FG_0472,FG_0472_025.jpg,,,Granada. Alhambra. Detalle en el Patio de Los Leones,"Petit, John Louis (The Reverend)",1858-01-01,Papel a la sal,palacio;patio porticado;galería;columnas;capiteles;reparación,"Granada, Andalucía, España","37,177242","-3,5892882",Colección Fernández Rivero de Fotografía Antigua,FG0472,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
FC_0146,FG_0428_006.jpg,,,Madrid. Plaza de Oriente  1851-53,"Tenison, Edward-King",1851-01-01,Papel a la sal,paisaje urbano;palacio;jardín;escultura;monumento,"Madrid, España","40,418545","-3,7142072",Colección Fernández Rivero de Fotografía Antigua,FC0146,Fotografía,image/jpeg,es,(CC BY-NC-ND 3.0) ,https://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO
